ParticipantID,Trial,AOI,ImageType,Duration_ms
P19,Trial5,Water,AI,208
P19,Trial5,Water,Real,442
P19,Trial6,Leaves,AI,588
P19,Trial6,Leaves,Real,0
P19,Trial6,Seed,AI,1308
P19,Trial6,Seed,Real,2033
P19,Trial6,Total,AI,1979
P19,Trial6,Total,Real,2321
P20,Trial1,Pupil,AI,475
P20,Trial1,Pupil,Real,242
P20,Trial1,Skin,AI,0
P20,Trial1,Skin,Real,0
P20,Trial1,Total,AI,1142
P20,Trial1,Total,Real,525
P20,Trial2,Hair,AI,1088
P20,Trial2,Hair,Real,700
P20,Trial2,Outfit,AI,0
P20,Trial2,Outfit,Real,175
P20,Trial2,Total,AI,1779
P20,Trial2,Total,Real,1221
P20,Trial3,Mountain,AI,425
P20,Trial3,Mountain,Real,0
P20,Trial3,River,AI,346
P20,Trial3,River,Real,0
P20,Trial3,Total,AI,946
P20,Trial3,Total,Real,292
P20,Trial4,Topping1,AI,513
P20,Trial4,Topping1,Real,1600
P20,Trial4,Topping2,AI,817
P20,Trial4,Topping2,Real,633
P20,Trial4,Total,AI,1813
P20,Trial4,Total,Real,2200
P20,Trial5,Cloud,AI,1417
P20,Trial5,Cloud,Real,1517
P20,Trial5,Total,AI,3525
P20,Trial5,Total,Real,3554
P20,Trial5,Water,AI,2108
P20,Trial5,Water,Real,2038
P20,Trial6,Leaves,AI,567
P20,Trial6,Leaves,Real,1475
P20,Trial6,Seed,AI,467
P20,Trial6,Seed,Real,1275
P20,Trial6,Total,AI,2692
P20,Trial6,Total,Real,3500
P21,Trial1,Pupil,AI,650
P21,Trial1,Pupil,Real,400
P21,Trial1,Skin,AI,0
P21,Trial1,Skin,Real,0
P21,Trial1,Total,AI,3096
P21,Trial1,Total,Real,871
P21,Trial2,Hair,AI,1275
P21,Trial2,Hair,Real,1308
P21,Trial2,Outfit,AI,158
P21,Trial2,Outfit,Real,121
P21,Trial2,Total,AI,1433
P21,Trial2,Total,Real,1550
P21,Trial3,Mountain,AI,600
P21,Trial3,Mountain,Real,717
P21,Trial3,River,AI,975
P21,Trial3,River,Real,1342
P21,Trial3,Total,AI,2325
P21,Trial3,Total,Real,2167
P21,Trial4,Topping1,AI,400
P21,Trial4,Topping1,Real,1792
P21,Trial4,Topping2,AI,683
P21,Trial4,Topping2,Real,567
P21,Trial4,Total,AI,1879
P21,Trial4,Total,Real,2617
P21,Trial5,Cloud,AI,433
P21,Trial5,Cloud,Real,996
P21,Trial5,Total,AI,5500
P21,Trial5,Total,Real,3796
P21,Trial5,Water,AI,5067
P21,Trial5,Water,Real,2800
P21,Trial6,Leaves,AI,1967
P21,Trial6,Leaves,Real,625
P21,Trial6,Seed,AI,467
P21,Trial6,Seed,Real,471
P21,Trial6,Total,AI,3167
P21,Trial6,Total,Real,1163
P22,Trial1,Pupil,AI,475
P22,Trial1,Pupil,Real,0
P22,Trial1,Skin,AI,175
P22,Trial1,Skin,Real,0
P22,Trial1,Total,AI,1496
P22,Trial1,Total,Real,483
P22,Trial2,Hair,AI,2550
P22,Trial2,Hair,Real,1233
P22,Trial2,Outfit,AI,258
P22,Trial2,Outfit,Real,0
P22,Trial2,Total,AI,3113
P22,Trial2,Total,Real,2458
P22,Trial3,Mountain,AI,183
P22,Trial3,Mountain,Real,546
P22,Trial3,River,AI,642
P22,Trial3,River,Real,967
P22,Trial3,Total,AI,825
P22,Trial3,Total,Real,1513
P22,Trial4,Topping1,AI,542
P22,Trial4,Topping1,Real,1908
P22,Trial4,Topping2,AI,1004
P22,Trial4,Topping2,Real,450
P22,Trial4,Total,AI,1738
P22,Trial4,Total,Real,2358
P22,Trial5,Cloud,AI,929
P22,Trial5,Cloud,Real,667
P22,Trial5,Total,AI,2071
P22,Trial5,Total,Real,1817
P22,Trial5,Water,AI,1142
P22,Trial5,Water,Real,1150
P22,Trial6,Leaves,AI,242
P22,Trial6,Leaves,Real,0
P22,Trial6,Seed,AI,658
P22,Trial6,Seed,Real,525
P22,Trial6,Total,AI,1242
P22,Trial6,Total,Real,525
P23,Trial1,Pupil,AI,1392
P23,Trial1,Pupil,Real,892
P23,Trial1,Skin,AI,392
P23,Trial1,Skin,Real,0
P23,Trial1,Total,AI,3396
